[32m [INFO] [07/08/2025 12:57] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Success to download: random-test.txt to projects/12/EmptyDir,Success to download: test.txt to projects/12/EmptyDir	Failed to upload: test to projects/12/EmptyDir [0m 
[32m [INFO] [07/08/2025 13:02] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Success to download: random-test.txt to projects/12/EmptyDir,Success to download: test.txt to projects/12/EmptyDir	Failed to upload: test to projects/12/EmptyDir [0m 
[32m [INFO] [07/08/2025 13:04] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: routes/editRoutes.ts | FUNCTION: downloadProject | MESSAGE: Success to download: random-test.txt to projects/12/EmptyDir,Success to download: test.txt to projects/12/EmptyDir	Failed to upload: test to projects/12/EmptyDir [0m 
[32m [INFO] [07/08/2025 13:04] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: routes/editRoutes.ts | FUNCTION: downloadProject | MESSAGE: Success to download: random-test.txt to projects/12/EmptyDir,Success to download: test.txt to projects/12/EmptyDir	Failed to upload: test to projects/12/EmptyDir [0m 
[32m [INFO] [07/08/2025 13:08] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: routes/editRoutes.ts | FUNCTION: downloadProject | MESSAGE: Success to download: random-test.txt to projects/12/EmptyDir,Success to download: test.txt to projects/12/EmptyDir	Failed to upload: test to projects/12/EmptyDir [0m 
[32m [INFO] [07/08/2025 13:09] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: routes/editRoutes.ts | FUNCTION: downloadProject | MESSAGE: Success to download: random-test.txt to projects/12/EmptyDir,Success to download: test.txt to projects/12/EmptyDir	Failed to upload: test to projects/12/EmptyDir [0m 
[32m [INFO] [07/08/2025 13:10] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: routes/editRoutes.ts | FUNCTION: DownloadProject | MESSAGE: Success to download: random-test.txt to projects/12/EmptyDir,Success to download: test.txt to projects/12/EmptyDir	Failed to upload: test to projects/12/EmptyDir [0m 
[32m [INFO] [07/08/2025 13:11] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: routes/editRoutes.ts | FUNCTION: DownloadProject | MESSAGE: Success to download: random-test.txt to projects/12/EmptyDir,Success to download: test.txt to projects/12/EmptyDir	Failed to upload: test to projects/12/EmptyDir [0m 
[32m [INFO] [07/08/2025 13:16] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: routes/editRoutes.ts | FUNCTION: DownloadProject | MESSAGE: Success to download: random-test.txt to projects/12/EmptyDir,Success to download: test.txt to projects/12/EmptyDir	Failed to upload: test to projects/12/EmptyDir [0m 
[32m [INFO] [07/08/2025 13:20] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: routes/editRoutes.ts | FUNCTION: DownloadProject | MESSAGE: Success to download: random-test.txt to projects/12/EmptyDir,Success to download: test.txt to projects/12/EmptyDir	Failed to upload: test to projects/12/EmptyDir [0m 
[32m [INFO] [07/08/2025 13:28] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 13:34] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 13:35] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
